unip	degree	type
Q9Y6B7	27.999999999999996	"Mendelian
disease"
P06733	30.0	"Mendelian
disease"
P63267	40.0	"Mendelian
disease"
Q9BYW2	29.0	"Mendelian
disease"
O75477	5.999999999999999	"Mendelian
disease"
P55072	119.0	"Mendelian
disease"
Q9P2J5	27.999999999999996	"Mendelian
disease"
Q9BTV4	5.999999999999999	"Mendelian
disease"
Q15041	5.0	"Mendelian
disease"
P22695	88.0	"Mendelian
disease"
P05783	4.0	"Mendelian
disease"
P05787	5.0	"Mendelian
disease"
P04181	13.999999999999998	"Mendelian
disease"
Q9UHD9	41.0	"Mendelian
disease"
O95292	33.0	"Mendelian
disease"
P50402	11.0	"Mendelian
disease"
P49736	58.0	"Mendelian
disease"
Q9Y263	30.999999999999996	"Mendelian
disease"
P17858	10.0	"Mendelian
disease"
P40855	23.0	"Mendelian
disease"
O96011	2.0	"Mendelian
disease"
P28288	9.0	"Mendelian
disease"
P63261	58.99999999999999	"Mendelian
disease"
Q71U36	61.99999999999999	"Mendelian
disease"
P13073	45.0	"Mendelian
disease"
O15382	2.9999999999999996	"Mendelian
disease"
P38117	9.0	"Mendelian
disease"
P25705	52.99999999999999	"Mendelian
disease"
Q6PD74	6.999999999999999	"Mendelian
disease"
P08247	4.0	"Mendelian
disease"
Q96C86	6.999999999999999	"Mendelian
disease"
P04150	36.0	"Mendelian
disease"
P10636	33.0	"Mendelian
disease"
P68400	84.0	"Mendelian
disease"
P42345	80.0	"Mendelian
disease"
P28482	160.0	"Mendelian
disease"
Q09472	217.99999999999997	"Mendelian
disease"
P20226	105.0	"Mendelian
disease"
P63165	80.0	"Mendelian
disease"
Q13451	18.0	"Mendelian
disease"
Q9UNE7	60.0	"Mendelian
disease"
P48552	21.0	"Mendelian
disease"
Q71SY5	22.0	"Mendelian
disease"
P00533	163.0	"Mendelian
disease"
P04049	81.0	"Mendelian
disease"
Q9Y3R0	13.999999999999998	"Mendelian
disease"
Q16620	23.0	"Mendelian
disease"
P31749	133.0	"Mendelian
disease"
Q00987	60.0	"Mendelian
disease"
P10276	52.0	"Mendelian
disease"
P17612	76.99999999999999	"Mendelian
disease"
O00499	15.0	"Mendelian
disease"
Q13509	21.0	"Mendelian
disease"
P48730	33.0	"Mendelian
disease"
P0DPH8	30.0	"Mendelian
disease"
Q9UBN7	52.99999999999999	"Mendelian
disease"
P10644	23.999999999999996	"Mendelian
disease"
P22612	23.0	"Mendelian
disease"
P0DP23	137.0	"Mendelian
disease"
Q9BXM0	5.999999999999999	"Mendelian
disease"
P40763	75.0	"Mendelian
disease"
P52333	17.0	"Mendelian
disease"
P23458	36.0	"Mendelian
disease"
P27986	89.0	"Mendelian
disease"
P25963	60.0	"Mendelian
disease"
O60282	29.0	"Mendelian
disease"
O00303	61.99999999999999	"Mendelian
disease"
Q96ST3	93.99999999999999	"Mendelian
disease"
Q6RI45	1.0	"Mendelian
disease"
O14640	23.0	"Mendelian
disease"
Q8N7H5	21.0	"Mendelian
disease"
Q96IZ7	175.0	"Mendelian
disease"
Q9NQB0	20.0	"Mendelian
disease"
Q9NZR4	1.0	"Mendelian
disease"
P04637	153.0	"Mendelian
disease"
P60484	42.0	"Mendelian
disease"
Q13351	15.0	"Mendelian
disease"
O15266	2.0	"Mendelian
disease"
P12830	34.0	"Mendelian
disease"
P33527	17.0	"Mendelian
disease"
Q13501	70.99999999999999	"Mendelian
disease"
P67870	47.99999999999999	"Mendelian
disease"
Q9C0J9	23.0	"Mendelian
disease"
P29590	32.0	"Mendelian
disease"
Q12873	33.0	"Mendelian
disease"
P13569	20.0	"Mendelian
disease"
P20749	11.0	"Mendelian
disease"
Q9NPJ1	11.0	"Mendelian
disease"
P00441	36.99999999999999	"Mendelian
disease"
O43918	13.999999999999998	"Mendelian
disease"
P08235	13.0	"Mendelian
disease"
Q7Z6Z7	30.999999999999996	"Mendelian
disease"
P03372	113.0	"Mendelian
disease"
Q13217	11.999999999999998	"Mendelian
disease"
Q9Y6K9	60.0	"Mendelian
disease"
P25686	2.9999999999999996	"Mendelian
disease"
P00519	84.0	"Mendelian
disease"
O95817	11.0	"Mendelian
disease"
P31327	9.0	"Mendelian
disease"
P04629	35.0	"Mendelian
disease"
O60260	61.0	"Mendelian
disease"
P02511	13.0	"Mendelian
disease"
Q9H3Z4	2.9999999999999996	"Mendelian
disease"
O75061	23.999999999999996	"Mendelian
disease"
Q9UKV8	24.999999999999996	"Mendelian
disease"
P35869	10.0	"Mendelian
disease"
Q16671	4.0	"Mendelian
disease"
P11802	45.0	"Mendelian
disease"
Q13546	40.0	"Mendelian
disease"
Q9Y243	11.999999999999998	"Mendelian
disease"
Q8IWX7	4.0	"Mendelian
disease"
P04626	51.0	"Mendelian
disease"
Q01362	2.9999999999999996	"Mendelian
disease"
Q04912	13.999999999999998	"Mendelian
disease"
P38646	46.99999999999999	"Mendelian
disease"
O14746	17.0	"Mendelian
disease"
P08581	30.999999999999996	"Mendelian
disease"
P51571	20.0	"Mendelian
disease"
Q15831	23.0	"Mendelian
disease"
P06401	20.0	"Mendelian
disease"
P07237	35.0	"Mendelian
disease"
Q9UHD2	51.0	"Mendelian
disease"
O43318	66.0	"Mendelian
disease"
P12931	140.0	"Mendelian
disease"
Q05655	38.0	"Mendelian
disease"
Q9BXM7	22.0	"Mendelian
disease"
Q9H892	4.0	"Mendelian
disease"
P37023	16.0	"Mendelian
disease"
O95718	9.0	"Mendelian
disease"
Q14653	6.999999999999999	"Mendelian
disease"
O60674	57.0	"Mendelian
disease"
P06239	44.0	"Mendelian
disease"
O15111	67.0	"Mendelian
disease"
Q99653	10.0	"Mendelian
disease"
P39656	30.999999999999996	"Mendelian
disease"
P42858	18.0	"Mendelian
disease"
P09884	38.0	"Mendelian
disease"
Q07869	19.0	"Mendelian
disease"
Q92731	34.0	"Mendelian
disease"
O14920	64.0	"Mendelian
disease"
Q15303	26.0	"Mendelian
disease"
P10275	89.0	"Mendelian
disease"
Q9BY41	13.0	"Mendelian
disease"
P19838	49.99999999999999	"Mendelian
disease"
P04899	57.0	"Mendelian
disease"
P27797	23.0	"Mendelian
disease"
P09681	5.0	"Mendelian
disease"
P21333	47.99999999999999	"Mendelian
disease"
Q5JWF2	29.0	"Mendelian
disease"
P35520	2.9999999999999996	"Mendelian
disease"
P62913	225.0	"Mendelian
disease"
Q01432	1.0	"Mendelian
disease"
P46527	42.0	"Mendelian
disease"
Q9BXW9	21.0	"Mendelian
disease"
P51610	22.0	"Mendelian
disease"
P84022	70.99999999999999	"Mendelian
disease"
Q9P2R6	10.0	"Mendelian
disease"
P35222	160.0	"Mendelian
disease"
Q5TC82	4.0	"Mendelian
disease"
P00558	20.0	"Mendelian
disease"
P11473	30.999999999999996	"Mendelian
disease"
P67775	132.0	"Mendelian
disease"
P49815	32.0	"Mendelian
disease"
Q9Y4R8	13.0	"Mendelian
disease"
