unip	degree	type
Q96B97	0.002019470291479181	"Mendelian
disease"
O95996	0.00037535020719931347	"Mendelian
disease"
P12955	0.00010026250273988184	"Mendelian
disease"
P10253	0.0005014355644869493	"Mendelian
disease"
P07741	9.196034906640883e-05	"Mendelian
disease"
P07195	0.00029662311057301926	"Mendelian
disease"
P16930	0.00033170800895673455	"Mendelian
disease"
Q99497	0.0006179540499486873	"Mendelian
disease"
P49768	0.001050188596336524	"Mendelian
disease"
Q5S007	0.014801792549729275	"Mendelian
disease"
Q9ULV0	0.0002498733839438516	"Mendelian
disease"
Q96CV9	0.00037202561630257343	"Mendelian
disease"
Q9Y4I1	0.0016631901637018112	"Mendelian
disease"
P52565	0.001114311496277142	"Mendelian
disease"
Q5T4F4	8.469440402445708e-05	"Mendelian
disease"
P46937	0.0033459346095280076	"Mendelian
disease"
P31150	0.0011242235800640534	"Mendelian
disease"
P49810	0.000435663229399659	"Mendelian
disease"
P60174	0.0006784143098972588	"Mendelian
disease"
O75083	0.0009238304822728693	"Mendelian
disease"
O95714	0.0001797193934343533	"Mendelian
disease"
P49411	0.001184989285886988	"Mendelian
disease"
P24386	0.00025251862130318693	"Mendelian
disease"
P49591	0.0002273753811031522	"Mendelian
disease"
P15153	0.0003432732489113839	"Mendelian
disease"
O94855	2.3604510675539097e-05	"Mendelian
disease"
P09417	0.0003652396446864332	"Mendelian
disease"
P60763	0.0008223493888432997	"Mendelian
disease"
O94903	3.578740871588892e-05	"Mendelian
disease"
P60953	0.006506834214576033	"Mendelian
disease"
Q9Y6B7	0.0003205302475569176	"Mendelian
disease"
P06733	0.0010518174828664697	"Mendelian
disease"
P63267	0.0006460540471038778	"Mendelian
disease"
Q9BYW2	0.0011015435345343393	"Mendelian
disease"
O75477	2.586901478263375e-05	"Mendelian
disease"
P55072	0.010815526321731843	"Mendelian
disease"
Q9P2J5	0.00042521641956861153	"Mendelian
disease"
Q9BTV4	3.443656123312633e-05	"Mendelian
disease"
Q15041	0.00033098929046010525	"Mendelian
disease"
P22695	0.0021209416458649157	"Mendelian
disease"
P05783	2.7368944724696194e-05	"Mendelian
disease"
P05787	2.824009806241009e-05	"Mendelian
disease"
P04181	0.0002026145664510521	"Mendelian
disease"
Q9UHD9	0.002281417289894134	"Mendelian
disease"
O95292	0.0014933973178021401	"Mendelian
disease"
P50402	0.0002778926563573787	"Mendelian
disease"
P49736	0.0006767236926554737	"Mendelian
disease"
Q9Y263	0.0001679801978598416	"Mendelian
disease"
P17858	6.85120600515685e-05	"Mendelian
disease"
P40855	0.0018421697392152058	"Mendelian
disease"
O96011	0.0	"Mendelian
disease"
P28288	0.0002081939569892466	"Mendelian
disease"
P63261	0.002394268247652962	"Mendelian
disease"
Q71U36	0.001980684083706629	"Mendelian
disease"
P13073	0.00037640920867335325	"Mendelian
disease"
O15382	2.342450384579304e-05	"Mendelian
disease"
P38117	0.00041828976116669496	"Mendelian
disease"
P25705	0.0021257245928167456	"Mendelian
disease"
Q6PD74	1.1908771506210187e-05	"Mendelian
disease"
P08247	2.2030080902125864e-05	"Mendelian
disease"
Q96C86	2.7604049675398762e-05	"Mendelian
disease"
P04150	0.0007697947975796837	"Mendelian
disease"
P10636	0.0010059940461814194	"Mendelian
disease"
P68400	0.005438815484779506	"Mendelian
disease"
P42345	0.004540017023257559	"Mendelian
disease"
P28482	0.012113322361516129	"Mendelian
disease"
